x_right,z_right,x_left,z_left
230.4489,312.2483,233.9336,324.733
228.9686,312.6792,232.4514,325.1649
227.4969,313.1074,230.9816,325.5932
226.0378,313.5312,229.5304,326.0158
224.5956,313.9507,228.0996,326.4336
223.1693,314.3657,226.6872,326.8454
221.7548,314.7775,225.2895,327.2531
220.3477,315.1866,223.9005,327.6582
218.9447,315.595,222.5148,328.0618
217.541,316.0035,221.129,328.4656
216.1362,316.4113,219.7399,328.8701
214.7288,316.8209,218.3472,329.2756
213.319,317.2312,216.9512,329.6833
211.9072,317.6413,215.5517,330.0903
210.4948,318.0522,214.1498,330.4984
209.0805,318.4632,212.7469,330.9077
207.6666,318.8743,211.3423,331.3165
206.2528,319.2856,209.9369,331.7259
204.8388,319.6972,208.5309,332.1352
203.4249,320.1088,207.1245,332.5451
202.0106,320.5196,205.7175,332.9548
200.5967,320.9312,204.31,333.3646
199.1832,321.3426,202.9022,333.7749
197.7698,321.7536,201.4937,334.185
196.3558,322.1646,200.085,334.5946
192.0303,323.4236,195.7689,335.8517
190.5556,323.8529,194.3015,336.279
189.0862,324.2809,192.832,336.7067
187.6145,324.7092,191.3629,337.1339
186.1475,325.1362,189.8922,337.5619
184.6782,325.5643,188.4221,337.9904
183.2086,325.9928,186.9517,338.4178
181.7402,326.4199,185.4806,338.845
180.271,326.8481,184.0102,339.274
178.8017,327.2761,182.5394,339.7021
177.3315,327.7038,181.0685,340.1295
175.8609,328.1318,179.5981,340.5582
174.3905,328.5603,178.1274,340.9864
172.9216,328.9889,176.656,341.4143
171.4514,329.417,175.185,341.8421
169.9798,329.8454,173.7145,342.2705
168.5114,330.2735,172.2427,342.6984
167.0392,330.7027,170.7721,343.1263
165.5715,331.1316,169.3003,343.5553
164.1033,331.5593,167.8282,343.9826
162.635,331.9872,166.356,344.4107
161.1666,332.4157,164.8842,344.8392
159.6983,332.8443,163.412,345.2667
158.2306,333.2724,161.9398,345.6946
156.7641,333.6998,160.4671,346.1225
155.2972,334.1281,158.9951,346.5513
153.832,334.5549,157.5221,346.9789
152.3661,334.9814,156.0497,347.4071
150.9013,335.4088,154.5773,347.8356
149.436,335.8353,153.1048,348.263
147.9712,336.2621,151.6325,348.6913
146.5068,336.6886,150.1606,349.12
145.0417,337.1159,148.6889,349.5481
143.5761,337.5426,147.2174,349.9762
142.1112,337.9707,145.746,350.4038
140.645,338.3967,144.275,350.8309
139.1799,338.8242,142.8049,351.2609
137.7153,339.2515,141.3343,351.6879
136.247,339.6787,139.865,352.1149
134.7778,340.1064,138.3962,352.5415
133.3059,340.536,136.9292,352.9699
131.8372,340.9637,135.461,353.3966
130.3656,341.3933,133.9941,353.8229
128.8937,341.8216,132.5279,354.2502
127.4222,342.2508,131.0614,354.6757
125.9532,342.6792,129.5949,355.1021
124.4833,343.1085,128.1295,355.5299
123.0137,343.536,126.6637,355.9558
121.5446,343.965,125.198,356.3812
120.0755,344.3929,123.7331,356.8082
118.6084,344.8206,122.2672,357.2335
117.1419,345.2492,120.8019,357.6589
115.6763,345.6767,119.3371,358.0856
114.2073,346.1045,117.8732,358.5107
112.7423,346.5316,116.4085,358.9352
111.2777,346.9578,114.9451,359.3627
109.8166,347.3835,113.4806,359.7874
108.3552,347.8105,112.0175,360.2145
106.8941,348.2365,110.5541,360.6389
105.4351,348.6612,109.0907,361.0639
103.976,349.0877,107.6292,361.4911
102.5186,349.5138,106.1674,361.9153
101.062,349.9389,104.707,362.3388
99.6069,350.3651,103.2489,362.765
98.1517,350.7909,101.7918,363.1873
96.6951,351.2172,100.3375,363.6099
95.2391,351.6443,98.8861,364.0342
93.7838,352.0715,97.436,364.455
92.3285,352.4981,95.9883,364.8756
90.8726,352.9255,94.5441,365.2975
89.4217,353.3521,93.1017,365.7166
87.8909,353.8011,91.5849,366.1571
86.3699,354.2479,90.0733,366.5964
84.8523,354.6965,88.569,367.0337
83.3399,355.1404,87.0718,367.4725
81.8337,355.5834,85.5796,367.9052
80.335,356.0255,84.0934,368.3368
78.8407,356.4659,82.6148,368.7702
77.357,356.9043,81.1403,369.1988
75.8755,357.3414,79.6724,369.6241
74.403,357.7758,78.2116,370.0526
72.9309,358.2107,76.7568,370.4752
71.4713,358.6436,75.3068,370.8966
70.0142,359.0735,73.8645,371.3197
68.4887,359.5241,72.3513,371.76
66.9715,359.9724,70.8446,372.1985
65.4626,360.4195,69.3437,372.634
63.9636,360.8626,67.8491,373.069
62.4703,361.3042,66.3626,373.5061
60.9864,361.7425,64.8804,373.936
59.5151,362.1787,63.4037,374.3645
58.0509,362.6122,61.9353,374.7965
56.592,363.0441,60.4721,375.2205
55.1399,363.4738,59.0157,375.6434
53.6961,363.9029,57.5676,376.0699
52.2561,364.3285,56.1243,376.4875
50.7524,364.7735,54.6162,376.9261
49.2554,365.2176,53.1172,377.3681
47.7652,365.659,51.6236,377.8024
46.2861,366.097,50.1361,378.2339
44.8132,366.5331,48.6557,378.6631
43.3467,366.9671,47.1852,379.0981
41.8871,367.4011,45.7193,379.5231
40.4398,367.829,44.2596,379.9458
38.9998,368.2547,42.8096,380.3747
37.5705,368.6782,41.3636,380.7921
36.0777,369.1193,39.8583,381.2292
34.596,369.5569,38.3638,381.6714
33.1212,369.9941,36.8769,382.1027
31.6598,370.4262,35.3995,382.5307
30.21,370.8554,33.9349,382.9647
28.7658,371.2819,32.4777,383.385
27.3343,371.7055,31.0283,383.8023
25.8389,372.148,29.5261,384.248
24.3456,372.5893,28.0223,384.6813
22.8543,373.0299,26.5182,385.1165
21.3735,373.4691,25.0306,385.5576
19.9058,373.9031,23.553,385.9853
18.4465,374.3335,22.0887,386.409
16.9964,374.7616,20.6374,386.8298
15.5055,375.2025,19.1393,387.2766
14.018,375.6416,17.6522,387.7072
12.5547,376.0759,16.1782,388.1337
11.1079,376.5018,14.7176,388.5565
9.6749,376.9254,13.2738,388.9855
8.1864,377.3666,11.7828,389.4167
6.709,377.8023,10.3066,389.842
5.2531,378.2319,8.8485,390.2767
3.8089,378.6606,7.4015,390.6934
2.3127,379.1025,5.9136,391.1226
0.8412,379.5374,4.4407,391.5488
-0.6069,379.9656,2.987,391.9836
-2.0489,380.3944,1.5445,392.3991
-3.5064,380.8268,0.0624,392.8304
-4.9736,381.2616,-1.4028,393.252
-6.4115,381.6897,-2.8478,393.6846
-7.9052,382.1325,-4.3327,394.1098
-9.3745,382.5692,-5.801,394.5301
-10.8148,382.998,-7.2485,394.9623
-12.3051,383.4413,-8.7344,395.3877
-13.759,383.8736,-10.1994,395.8272
-15.2064,384.3052,-11.6551,396.2427
-16.6707,384.7412,-13.1481,396.6737
-18.1316,385.1791,-14.6262,397.1013
-19.575,385.6095,-16.0913,397.5245
-21.0049,386.0357,-17.5386,397.9595
-22.4589,386.4689,-19.0262,398.388
-23.901,386.8996,-20.4995,398.8127
-25.3142,387.3239,-21.9605,399.2323
-26.7084,387.7413,-23.4047,399.663
-28.1117,388.161,-24.8882,400.0866
-29.4991,388.5778,-26.3578,400.5064
-30.8424,388.983,-27.8131,400.9377
-32.1974,389.3931,-29.3057,401.3655
-33.5116,389.7941,-30.7882,401.7912
-34.7925,390.1899,-32.2594,402.2237
-36.084,390.5931,-33.7692,402.6517
-37.3448,390.9919,-35.2722,403.077
-38.5841,391.3892,-36.7681,403.5066
-39.8514,391.8024,-38.3029,403.9364
-41.1013,392.211,-39.8347,404.3684
-42.3857,392.6334,-41.4074,404.8007
-43.6586,393.0559,-42.9817,405.228
-44.9378,393.4796,-44.5546,405.6531
-46.2558,393.9142,-46.1734,406.0783
-47.574,394.3476,-47.7987,406.4983
-48.9396,394.7903,-49.4714,406.9181
-50.3022,395.23,-51.1613,407.3278
-51.6708,395.6634,-52.869,407.7332
-53.0973,396.1261,-54.6333,408.1326
-54.5438,396.6047,-56.4155,408.5072
-56.044,397.0446,-58.2567,408.8584
-57.5379,397.3639,-60.1253,409.1748
-59.059,397.5511,-62.052,409.468
-60.5609,397.6223,-64.007,409.7251
-62.0706,397.573,-66.053,409.9655
-63.5387,397.3798,-68.1243,410.1791
-64.994,397.0663,-70.2734,410.3307
-66.3952,396.6389,-72.4234,410.3518
-67.7766,396.0998,-74.2703,409.7083
-69.0668,395.4058,-75.703,408.1852
-70.2714,394.5522,-77.0669,406.6893
-71.3925,393.543,-78.2939,405.2252
-72.4271,392.4056,-79.5773,403.6783
-73.368,391.1643,-80.7757,402.1655
-74.1947,389.7956,-81.919,400.6816
-74.9621,388.3806,-83.0146,399.2093
-75.7142,386.9617,-84.0613,397.7495
-76.4648,385.6231,-85.0503,396.3166
-77.2043,384.2844,-86.007,394.8718
-77.9368,382.9486,-86.939,393.4184
-78.6666,381.6147,-87.8527,391.9688
-79.3931,380.2835,-88.7515,390.5229
-80.1102,378.9613,-89.637,389.0792
-80.8167,377.6526,-90.5044,387.6391
-81.5158,376.3672,-91.3508,386.203
-82.2055,375.1065,-92.1652,384.7664
-82.8847,373.8678,-92.9478,383.3396
-83.5817,372.6096,-93.7401,381.8942
-84.2661,371.3803,-94.5277,380.4894
-84.9699,370.1324,-95.3246,379.0696
-85.6679,368.9182,-96.1066,377.6876
-86.3954,367.6903,-96.9031,376.2972
-87.118,366.4982,-97.6889,374.9518
-87.8673,365.285,-98.4848,373.5959
-88.6321,364.0638,-99.2964,372.2288
-89.3933,362.8699,-100.0934,370.908
-90.1763,361.6638,-100.902,369.5753
-90.9835,360.4315,-101.7238,368.2351
-91.7761,359.2314,-102.5345,366.9462
-92.5769,358.0274,-103.359,365.6463
-93.397,356.8061,-104.2,364.342
-94.2454,355.561,-105.0615,363.0373
-95.0781,354.3601,-105.9001,361.7799
-95.9298,353.1401,-106.7573,360.5213
-96.7898,351.9032,-107.6297,359.2586
-97.66,350.6381,-108.5146,357.9932
-98.5375,349.3561,-109.4051,356.7217
-99.4249,348.0671,-110.3054,355.4475
-100.3292,346.7769,-111.2159,354.1719
-101.2189,345.5485,-112.0958,352.9502
-102.129,344.3265,-112.9906,351.7312
-103.0489,343.0947,-113.8858,350.5085
-103.9704,341.8553,-114.7847,349.2863
-104.8914,340.6198,-115.6848,348.0637
-105.808,339.3916,-116.5885,346.8455
-106.715,338.1783,-117.4913,345.6285
-107.6258,336.9626,-118.3953,344.4229
-108.536,335.7459,-119.2998,343.229
-109.4884,334.4755,-120.233,341.9841
-110.4356,333.2132,-121.1443,340.7335
-111.3768,331.961,-122.0252,339.4705
-112.3129,330.7144,-122.8926,338.2079
-113.2409,329.4807,-123.762,336.9545
-114.1627,328.2548,-124.6378,335.7144
-115.0794,327.0367,-125.5182,334.4867
-115.9897,325.828,-126.3985,333.2674
-116.9301,324.5799,-127.3111,331.9987
-117.8669,323.3372,-128.2131,330.7327
-118.7954,322.1053,-129.1091,329.471
-119.7217,320.8792,-130.0032,328.2182
-120.6416,319.659,-130.8957,326.9738
-121.5538,318.4493,-131.7918,325.7401
-122.4655,317.2416,-132.6813,324.5128
-123.3692,316.0446,-133.5641,323.2885
-124.3078,314.8017,-134.4707,322.0148
-125.2412,313.5655,-135.3675,320.7441
-126.1706,312.3342,-136.2564,319.4782
-127.0941,311.1085,-137.1409,318.219
-128.0128,309.8889,-138.0197,316.9658
-128.9294,308.6742,-138.8939,315.7198
-129.84,307.4623,-139.7633,314.4807
-130.7476,306.2569,-140.6276,313.2478
-131.687,305.0154,-141.5228,311.9717
-132.6293,303.7878,-142.4167,310.7018
-133.58,302.5704,-143.3118,309.4382
-134.5286,301.3566,-144.2061,308.1792
-135.4645,300.1386,-145.1044,306.9277
-136.3886,298.9145,-146.0132,305.6871
-137.3089,297.6872,-146.931,304.456
-138.2238,296.4597,-147.8557,303.232
-139.1355,295.2342,-148.779,302.0096
-140.0476,294.004,-149.7018,300.7795
-140.9609,292.7684,-150.6262,299.547
-141.8744,291.5341,-151.5505,298.3153
-142.7894,290.2987,-152.4739,297.0847
-143.7057,289.0625,-153.3972,295.8542
-144.6199,287.8271,-154.3207,294.6225
-145.5331,286.5936,-155.2465,293.3895
-146.4476,285.3576,-156.1727,292.154
-147.3658,284.1169,-157.1005,290.9168
-148.2885,282.872,-158.0302,289.6779
-149.2128,281.627,-158.9624,288.4354
-150.1387,280.3784,-159.8959,287.1895
-151.0683,279.1277,-160.8324,285.9411
-151.9659,277.9207,-161.7343,284.7385
-152.8647,276.7135,-162.6389,283.5323
-153.7667,275.5039,-163.5451,282.323
-154.6717,274.2921,-164.4532,281.111
-155.5806,273.0772,-165.3641,279.8978
-156.4906,271.86,-166.2765,278.6821
-157.4043,270.6411,-167.1901,277.4641
-158.3195,269.4211,-168.106,276.2436
-159.2373,268.1991,-169.0241,275.0213
-160.1561,266.975,-169.9433,273.7961
-161.0786,265.7488,-170.8648,272.5693
-162.0028,264.5201,-171.7877,271.3402
-162.9282,263.2898,-172.7132,270.1085
-163.8566,262.0573,-173.6395,268.8744
-164.7854,260.8239,-174.568,267.6375
-165.7168,259.5882,-175.4971,266.3987
-166.6507,258.3503,-176.4279,265.1592
-167.5874,257.1083,-177.3585,263.9187
-168.526,255.8641,-178.2899,262.6769
-169.4654,254.6174,-179.2233,261.4344
-170.4069,253.3705,-180.158,260.1895
-171.3482,252.1223,-181.095,258.9419
-172.2519,250.9259,-181.9975,257.7401
-173.1564,249.7286,-182.9019,256.5359
-174.0615,248.5289,-183.8072,255.3301
-174.9677,247.3277,-184.7152,254.1225
-175.8775,246.121,-185.6232,252.9157
-176.7895,244.9115,-186.5318,251.7083
-177.7029,243.6985,-187.4409,250.5005
-178.6185,242.4858,-188.3527,249.2918
-179.5342,241.2708,-189.2657,248.0822
-180.4504,240.054,-190.1805,246.8717
-181.3659,238.8374,-191.0968,245.658
-182.2809,237.6202,-192.0155,244.4427
-183.1965,236.4026,-192.935,243.2249
-184.1129,235.1826,-193.8545,242.0055
-185.0297,233.961,-194.7758,240.7852
-185.9474,232.7368,-195.6981,239.5643
-186.8668,231.511,-196.6208,238.3421
-187.7863,230.2845,-197.5439,237.1172
-188.7064,229.0562,-198.4676,235.8906
-189.6263,227.827,-199.3925,234.6618
-190.5471,226.598,-200.3181,233.4297
-191.4671,225.3685,-201.245,232.1949
-192.3875,224.1388,-202.1735,230.9576
-193.3084,222.9077,-203.1027,229.7181
-194.2305,221.6754,-204.032,228.4767
-195.1528,220.4413,-204.9611,227.2328
-196.0772,219.2065,-205.8903,225.9872
-197.0016,217.9695,-206.8186,224.7393
-197.9278,216.7313,-207.7474,223.4908
-198.8542,215.4921,-208.6743,222.2391
-199.7806,214.2519,-209.6013,220.9857
-200.7094,213.0116,-210.5289,219.7318
-201.639,211.7686,-211.4546,218.4771
-202.5683,210.5242,-212.3808,217.2216
-203.5003,209.2793,-213.305,215.9648
-204.4314,208.0334,-214.2294,214.7063
