x,y,z,pot
-241.3581,19.0532,-621.7271,0.000000
-242.2957,19.0830,-623.1176,0.000242
-243.2262,19.1125,-624.4968,0.000481
-244.1422,19.1416,-625.8542,0.000717
-245.0389,19.1700,-627.1834,0.000948
-245.9145,19.1977,-628.4825,0.001174
-246.7700,19.2248,-629.7532,0.001395
-247.6082,19.2513,-631.0005,0.001611
-248.4328,19.2774,-632.2300,0.001824
-249.2472,19.3032,-633.4468,0.002035
-250.0548,19.3288,-634.6555,0.002245
-250.8578,19.3543,-635.8600,0.002453
-251.6582,19.3797,-637.0624,0.002662
-252.4571,19.4051,-638.2641,0.002869
-253.2554,19.4305,-639.4662,0.003077
-254.0539,19.4559,-640.6696,0.003285
-254.8529,19.4815,-641.8746,0.003494
-255.6530,19.5071,-643.0814,0.003702
-256.4542,19.5327,-644.2901,0.003911
-257.2569,19.5585,-645.5013,0.004121
-258.0612,19.5843,-646.7147,0.004330
-258.8671,19.6102,-647.9305,0.004541
-259.6748,19.6361,-649.1489,0.004751
-260.4843,19.6620,-650.3698,0.004962
-261.2957,19.6879,-651.5933,0.005174
-264.6667,19.7958,-656.6758,0.006052
-265.5416,19.8261,-657.9951,0.006281
-266.4183,19.8573,-659.3174,0.006509
-267.2966,19.8887,-660.6430,0.006738
-268.1769,19.9201,-661.9716,0.006968
-269.0590,19.9517,-663.3034,0.007198
-269.9429,19.9833,-664.6383,0.007429
-270.8286,20.0150,-665.9765,0.007660
-271.7158,20.0459,-667.3177,0.007892
-272.6047,20.0769,-668.6619,0.008124
-273.4955,20.1075,-670.0096,0.008357
-274.3879,20.1387,-671.3603,0.008590
-275.2821,20.1694,-672.7140,0.008824
-276.1781,20.1985,-674.0710,0.009058
-277.0755,20.2261,-675.4308,0.009293
-277.9746,20.2529,-676.7937,0.009528
-278.8757,20.2805,-678.1600,0.009764
-279.7787,20.3096,-679.5292,0.010000
-280.6833,20.3397,-680.9012,0.010237
-281.5897,20.3699,-682.2763,0.010474
-282.4977,20.3999,-683.6544,0.010712
-283.4075,20.4302,-685.0353,0.010950
-284.3190,20.4605,-686.4196,0.011189
-285.2321,20.4909,-687.8065,0.011428
-286.1470,20.5213,-689.1961,0.011668
-287.0638,20.5527,-690.5889,0.011908
-287.9823,20.5859,-691.9843,0.012149
-288.9028,20.6199,-693.3826,0.012390
-289.8251,20.6539,-694.7835,0.012632
-290.7493,20.6868,-696.1870,0.012874
-291.6755,20.7194,-697.5934,0.013116
-292.6037,20.7520,-699.0023,0.013359
-293.4304,20.7804,-700.2569,0.013576
-294.2584,20.8091,-701.5137,0.013793
-295.0880,20.8378,-702.7726,0.014010
-295.9177,20.8669,-704.0312,0.014227
-296.7463,20.8963,-705.2878,0.014444
-297.5736,20.9254,-706.5427,0.014661
-298.3997,20.9539,-707.7961,0.014877
-299.3281,20.9857,-709.2048,0.015120
-300.1539,21.0129,-710.4575,0.015336
-300.9806,21.0405,-711.7115,0.015553
-301.8082,21.0694,-712.9669,0.015769
-302.6368,21.1000,-714.2239,0.015986
-303.4665,21.1328,-715.4825,0.016203
-304.2973,21.1654,-716.7428,0.016421
-305.1292,21.1972,-718.0045,0.016639
-305.9621,21.2272,-719.2678,0.016857
-306.7963,21.2554,-720.5334,0.017075
-307.6312,21.2832,-721.8004,0.017294
-308.4672,21.3107,-723.0695,0.017513
-309.3042,21.3393,-724.3407,0.017732
-310.1422,21.3691,-725.6138,0.017951
-310.9809,21.3997,-726.8890,0.018171
-311.8206,21.4301,-728.1663,0.018392
-312.6616,21.4582,-729.4457,0.018612
-313.5033,21.4845,-730.7263,0.018833
-314.3462,21.5104,-732.0085,0.019054
-315.1908,21.5379,-733.2931,0.019276
-316.0366,21.5675,-734.5795,0.019497
-316.8831,21.5981,-735.8677,0.019719
-317.7305,21.6280,-737.1578,0.019942
-318.5793,21.6577,-738.4494,0.020165
-319.4294,21.6879,-739.7429,0.020388
-320.2806,21.7205,-741.0380,0.020611
-321.1328,21.7555,-742.3351,0.020834
-321.9859,21.7909,-743.6342,0.021058
-322.8402,21.8259,-744.9346,0.021283
-323.6955,21.8596,-746.2367,0.021507
-324.5519,21.8919,-747.5411,0.021732
-325.4094,21.9231,-748.8471,0.021957
-326.2682,21.9523,-750.1545,0.022182
-327.1282,21.9806,-751.4634,0.022408
-327.9898,22.0089,-752.7741,0.022634
-328.8526,22.0382,-754.0864,0.022860
-329.7164,22.0690,-755.4002,0.023087
-330.5816,22.1011,-756.7156,0.023314
-331.4482,22.1336,-758.0327,0.023541
-332.3159,22.1653,-759.3511,0.023768
-333.1849,22.1958,-760.6711,0.023996
-334.0551,22.2265,-761.9926,0.024224
-334.9265,22.2580,-763.3158,0.024452
-335.7990,22.2911,-764.6406,0.024681
-336.6725,22.3252,-765.9669,0.024910
-337.5471,22.3596,-767.2949,0.025139
-338.4230,22.3931,-768.6243,0.025368
-339.3002,22.4258,-769.9551,0.025598
-340.1786,22.4575,-771.2874,0.025828
-341.0582,22.4888,-772.6215,0.026058
-341.9389,22.5196,-773.9568,0.026288
-342.8207,22.5501,-775.2938,0.026519
-343.7039,22.5807,-776.6321,0.026750
-344.5881,22.6126,-777.9719,0.026982
-345.4735,22.6465,-779.3130,0.027213
-346.3600,22.6820,-780.6558,0.027445
-347.2477,22.7180,-781.9999,0.027677
-348.1364,22.7528,-783.3456,0.027909
-349.0262,22.7854,-784.6927,0.028142
-349.9173,22.8169,-786.0411,0.028375
-350.8098,22.8479,-787.3909,0.028608
-351.7036,22.8799,-788.7420,0.028841
-352.5984,22.9131,-790.0944,0.029075
-353.4945,22.9471,-791.4483,0.029309
-354.3920,22.9817,-792.8034,0.029543
-355.2907,23.0155,-794.1597,0.029778
-356.1907,23.0482,-795.5174,0.030012
-357.0918,23.0798,-796.8765,0.030247
-357.9941,23.1105,-798.2368,0.030482
-358.8978,23.1409,-799.5984,0.030718
-359.8028,23.1719,-800.9612,0.030954
-360.7091,23.2041,-802.3251,0.031190
-361.6166,23.2378,-803.6902,0.031426
-362.5256,23.2728,-805.0565,0.031662
-363.4358,23.3079,-806.4241,0.031899
-364.3472,23.3420,-807.7928,0.032136
-365.2599,23.3747,-809.1627,0.032373
-366.1740,23.4067,-810.5338,0.032610
-367.0893,23.4394,-811.9059,0.032848
-368.0058,23.4727,-813.2795,0.033086
-368.9236,23.5067,-814.6542,0.033324
-369.8423,23.5398,-816.0302,0.033563
-370.7617,23.5720,-817.4070,0.033801
-371.6814,23.6036,-818.7845,0.034040
-372.6008,23.6359,-820.1611,0.034278
-373.5185,23.6679,-821.5347,0.034516
-374.4337,23.6994,-822.9037,0.034753
-375.3452,23.7285,-824.2669,0.034990
-376.2513,23.7572,-825.6216,0.035225
-377.1499,23.7874,-826.9655,0.035457
-378.0405,23.8216,-828.2972,0.035688
-378.9226,23.8596,-829.6159,0.035917
-379.7967,23.8986,-830.9221,0.036143
-380.6617,23.9366,-832.2155,0.036368
-381.5171,23.9728,-833.4947,0.036589
-382.3621,24.0082,-834.7588,0.036808
-383.1961,24.0438,-836.0063,0.037025
-384.1211,24.0844,-837.3901,0.037265
-385.0321,24.1241,-838.7533,0.037501
-385.9288,24.1625,-840.0954,0.037733
-386.8102,24.2011,-841.4150,0.037962
-387.6757,24.2412,-842.7115,0.038187
-388.5263,24.2831,-843.9861,0.038408
-389.3624,24.3264,-845.2396,0.038625
-390.2739,24.3763,-846.6074,0.038862
-391.1674,24.4279,-847.9490,0.039094
-392.0434,24.4800,-849.2661,0.039322
-392.9028,24.5317,-850.5592,0.039546
-393.7462,24.5820,-851.8296,0.039765
-394.6551,24.6371,-853.2002,0.040002
-395.5456,24.6908,-854.5446,0.040235
-396.4174,24.7441,-855.8621,0.040463
-397.2708,24.7977,-857.1537,0.040686
-398.1067,24.8512,-858.4211,0.040905
-398.9982,24.9100,-859.7748,0.041138
-399.8732,24.9672,-861.1052,0.041368
-400.7342,25.0254,-862.4163,0.041594
-401.5775,25.0822,-863.7012,0.041815
-402.4048,25.1405,-864.9631,0.042033
-403.2856,25.2017,-866.3074,0.042265
-404.1507,25.2646,-867.6291,0.042492
-405.0018,25.3274,-868.9303,0.042717
-405.8385,25.3910,-870.2104,0.042937
-406.6634,25.4523,-871.4734,0.043154
-407.5438,25.5198,-872.8231,0.043387
-408.4057,25.5855,-874.1456,0.043614
-409.2504,25.6538,-875.4429,0.043838
-410.0789,25.7195,-876.7159,0.044057
-410.9480,25.7920,-878.0524,0.044287
-411.7986,25.8614,-879.3615,0.044512
-412.6303,25.9311,-880.6428,0.044732
-413.4976,26.0012,-881.9793,0.044962
-414.3469,26.0726,-883.2891,0.045187
-415.1846,26.1387,-884.5817,0.045409
-416.0144,26.2090,-885.8640,0.045629
-416.8402,26.2746,-887.1401,0.045848
-417.7024,26.3457,-888.4727,0.046077
-418.5502,26.4135,-889.7837,0.046302
-419.3832,26.4835,-891.0728,0.046524
-420.2023,26.5522,-892.3414,0.046741
-421.0537,26.6281,-893.6618,0.046968
-421.8899,26.7005,-894.9589,0.047191
-422.7094,26.7749,-896.2336,0.047409
-423.5586,26.8476,-897.5551,0.047636
-424.3904,26.9215,-898.8510,0.047858
-425.2061,26.9882,-900.1223,0.048075
-426.0466,27.0623,-901.4336,0.048300
-426.8708,27.1286,-902.7195,0.048520
-427.6820,27.1993,-903.9843,0.048737
-428.5237,27.2650,-905.2925,0.048961
-429.3565,27.3351,-906.5809,0.049183
-430.1816,27.3991,-907.8506,0.049401
-431.0369,27.4707,-909.1611,0.049627
-431.8828,27.5354,-910.4532,0.049849
-432.7205,27.6040,-911.7247,0.050069
-433.5504,27.6633,-912.9794,0.050286
-434.4091,27.7298,-914.2784,0.050510
-435.2575,27.7891,-915.5671,0.050733
-436.0937,27.8511,-916.8463,0.050953
-436.9183,27.9067,-918.1168,0.051171
-437.7302,27.9670,-919.3784,0.051388
-438.5653,28.0234,-920.6855,0.051611
-439.3828,28.0844,-921.9854,0.051833
-440.1717,28.1377,-923.2842,0.052052
-440.9128,28.1911,-924.5917,0.052268
-441.6204,28.2374,-925.9692,0.052491
-442.2502,28.2795,-927.3660,0.052712
