x_right,z_right,x_left,z_left
-236.9982,-624.6632,-249.5009,-616.2434
-237.8915,-626.0869,-250.3909,-617.6598
-238.7755,-627.4996,-251.2723,-619.0683
-239.6463,-628.8882,-252.1440,-620.4544
-240.4969,-630.2476,-252.9964,-621.8150
-241.3284,-631.5737,-253.8329,-623.1455
-242.1398,-632.8703,-254.6491,-624.4490
-242.9363,-634.1402,-255.4534,-625.7284
-243.7191,-635.3914,-256.2437,-626.9913
-244.4947,-636.6278,-257.0291,-628.2383
-245.2637,-637.8567,-257.8057,-629.4767
-246.0300,-639.0788,-258.5827,-630.7098
-246.7944,-640.2998,-259.3545,-631.9396
-247.5601,-641.5196,-260.1265,-633.1655
-248.3244,-642.7409,-260.8957,-634.3923
-249.0907,-643.9628,-261.6677,-635.6177
-249.8573,-645.1873,-262.4378,-636.8450
-250.6270,-646.4135,-263.2101,-638.0710
-251.3966,-647.6427,-263.9818,-639.3002
-252.1684,-648.8734,-264.7569,-640.5311
-252.9418,-650.1080,-265.5302,-641.7638
-253.7178,-651.3438,-266.3076,-642.9983
-254.4939,-652.5834,-267.0867,-644.2353
-255.2718,-653.8259,-267.8650,-645.4760
-256.0526,-655.0700,-268.6468,-646.7186
-259.2931,-660.2399,-271.8909,-651.8844
-260.1332,-661.5821,-272.7322,-653.2261
-260.9757,-662.9255,-273.5786,-654.5707
-261.8192,-664.2724,-274.4252,-655.9195
-262.6667,-665.6226,-275.2737,-657.2694
-263.5138,-666.9760,-276.1231,-658.6248
-264.3645,-668.3321,-276.9751,-659.9819
-265.2157,-669.6915,-277.8277,-661.3440
-266.0700,-671.0525,-278.6834,-662.7087
-266.9244,-672.4181,-279.5377,-664.0773
-267.7823,-673.7862,-280.3972,-665.4474
-268.6408,-675.1575,-281.2563,-666.8223
-269.5029,-676.5312,-282.1195,-668.1978
-270.3653,-677.9090,-282.9827,-669.5780
-271.2308,-679.2883,-283.8495,-670.9600
-272.0965,-680.6714,-284.7182,-672.3451
-272.9662,-682.0576,-285.5861,-673.7341
-273.8364,-683.4481,-286.4579,-675.1243
-274.7096,-684.8397,-287.3293,-676.5194
-275.5825,-686.2358,-288.2054,-677.9157
